term_id,term,document_ids
0,citru,0
1,overview,0
2,group,0
3,bear,0
4,shrub,0
5,lemon,0
6,lime,0
7,cocktail,0
8,grapefruit,0
9,mandarin,0
10,easi,0
11,peel,0
12,tangerin,0
13,clementin,0
14,folat,0
15,regular,0
16,chronic,0
17,diseas,0
18,drain,0
19,sunlight,0
20,frost,0
21,florida,0
22,brazil,0
23,countri,0
24,dress,0
25,zest,0
26,essenc,0
27,ingredi,0
28,drink,0
29,impress,0
30,commod,0
31,berri,1
32,edibl,1
33,true,1
34,strawberri,1
35,blueberri,1
36,blue,1
37,pack,1
38,raspberri,1
39,delic,1
40,aggreg,1
41,blackberri,1
42,dark,1
43,cranberri,1
44,brain,1
45,consist,1
46,moistur,1
47,chill,1
48,hour,1
49,bush,1
50,plant,1
51,good,1
52,retain,1
53,much,1
54,nutrient,1
55,powerhous,1
56,countless,1
57,grown,2
58,humid,2
59,mango,2
60,pineappl,2
61,papaya,2
62,enzym,2
63,banana,2
64,energi,2
65,passion,2
66,pulp,2
67,bromelain,2
68,papain,2
69,america,2
70,south,2
71,caribbean,2
72,ideal,2
73,warmth,2
74,rainfal,2
75,salsa,2
76,main,2
77,confect,2
78,ship,2
79,year,2
80,economi,2
81,bring,2
82,diet,2
83,drupe,3
84,character,3
85,outer,3
86,fleshi,3
87,part,3
88,pit,3
89,peach,3
90,fuzzi,3
91,plum,3
92,cherri,3
93,apricot,3
94,velveti,3
95,nectarin,3
96,rel,3
97,season,3
98,peak,3
99,septemb,3
100,northern,3
101,hemispher,3
102,fat,3
103,ey,3
104,made,3
105,prune,3
106,cobbler,3
107,compot,3
108,favorit,3
109,appl,4
110,cultivar,4
111,thousand,4
112,granni,4
113,smith,4
114,fuji,4
115,shelf,4
116,life,4
117,gala,4
118,pleasant,4
119,crunch,4
120,honeycrisp,4
121,exception,4
122,golden,4
123,mellow,4
124,soft,4
125,sai,4
126,keep,4
127,doctor,4
128,awai,4
129,pectin,4
130,decidu,4
131,cold,4
132,dormanc,4
133,cross,4
134,pollin,4
135,china,4
136,usa,4
137,poland,4
138,maintain,4
139,month,4
140,cider,4
141,vinegar,4
142,shine,4
143,cake,4
144,pork,4
145,poultri,4
146,longev,4
147,melon,5
148,watermelon,5
149,cucurbitacea,5
150,famili,5
151,hydrat,5
152,weather,5
153,cantaloup,5
154,net,5
155,rind,5
156,muski,5
157,aroma,5
158,honeydew,5
159,pale,5
160,canari,5
161,bright,5
162,mild,5
163,galia,5
164,along,5
165,lycopen,5
166,temperatur,5
167,full,5
168,sun,5
169,ampl,5
170,trail,5
171,ripe,5
172,select,5
173,feel,5
174,heavi,5
175,emit,5
176,whole,5
177,room,5
178,cut,5
179,refriger,5
180,idea,5
181,sorbet,5
182,prosciutto,5
183,wrap,5
184,appet,5
185,subtl,5
186,altern,5
187,grape,6
188,wine,6
189,woodi,6
190,come,6
191,tabl,6
192,bred,6
193,seedless,6
194,thicker,6
195,raisin,6
196,primarili,6
197,thompson,6
198,purpl,6
199,undergo,6
200,ferment,6
201,alcohol,6
202,terroir,6
203,winemak,6
204,influenc,6
205,final,6
206,resveratrol,6
